# Recovery of a sinusoidal phase imprinted by a light shift, one run per injected frequency
# From Baynham et al., arXiv:2504.09158, doi:10.5281/zenodo.19592552 (CC BY 4.0), Fig. 5a
# Sources: data_analysis/data/intermediate_data/signal_fitting_results_by_frequency.csv (final iteration), and data_analysis/data/precomputed_true_signals/signal_extraction_*.npz, reduced as 'data_analysis/figures/Figure 5a.ipynb' does
# Columns: injected_hz, the run's nominal frequency; curve, 'fit' for the likelihood of a sinusoid fitted to the differential phase
#   (logL above its minimum) or 'true' for the periodogram of the light-shift drive; f_hz, trial frequency; value, normalised to unit peak
injected_hz,curve,f_hz,value
0.0001,fit,9.245500312462862e-05,0.152704
0.0001,fit,9.251231144110802e-05,0.155814
0.0001,fit,9.256965528019892e-05,0.159103
0.0001,fit,9.262703466391962e-05,0.162569
0.0001,fit,9.268444961430271e-05,0.166214
0.0001,fit,9.27419001533942e-05,0.170035
0.0001,fit,9.2799386303254e-05,0.174034
0.0001,fit,9.285690808595506e-05,0.17821
0.0001,fit,9.291446552358464e-05,0.182562
0.0001,fit,9.297205863824349e-05,0.187088
0.0001,fit,9.302968745204622e-05,0.191789
0.0001,fit,9.30873519871206e-05,0.196662
0.0001,fit,9.314505226560867e-05,0.201707
0.0001,fit,9.320278830966625e-05,0.206922
0.0001,fit,9.326056014146224e-05,0.212306
0.0001,fit,9.331836778317989e-05,0.217857
0.0001,fit,9.337621125701604e-05,0.223572
0.0001,fit,9.343409058518142e-05,0.229451
0.0001,fit,9.349200578990002e-05,0.235491
0.0001,fit,9.354995689341011e-05,0.241689
0.0001,fit,9.360794391796362e-05,0.248043
0.0001,fit,9.366596688582641e-05,0.254552
0.0001,fit,9.372402581927761e-05,0.261211
0.0001,fit,9.378212074061068e-05,0.268018
0.0001,fit,9.384025167213278e-05,0.274971
0.0001,fit,9.389841863616503e-05,0.282067
0.0001,fit,9.395662165504182e-05,0.289301
0.0001,fit,9.4014860751112e-05,0.296672
0.0001,fit,9.40731359467382e-05,0.304175
0.0001,fit,9.413144726429642e-05,0.311808
0.0001,fit,9.418979472617704e-05,0.319566
0.0001,fit,9.424817835478416e-05,0.327446
0.0001,fit,9.430659817253593e-05,0.335445
0.0001,fit,9.436505420186387e-05,0.343558
0.0001,fit,9.442354646521394e-05,0.351782
0.0001,fit,9.448207498504581e-05,0.360113
0.0001,fit,9.454063978383332e-05,0.368546
0.0001,fit,9.45992408840636e-05,0.377078
0.0001,fit,9.465787830823834e-05,0.385704
0.0001,fit,9.471655207887295e-05,0.39442
0.0001,fit,9.477526221849704e-05,0.403222
0.0001,fit,9.483400874965356e-05,0.412105
0.0001,fit,9.489279169490001e-05,0.421065
0.0001,fit,9.49516110768077e-05,0.430098
0.0001,fit,9.501046691796215e-05,0.439199
0.0001,fit,9.506935924096226e-05,0.448363
0.0001,fit,9.512828806842151e-05,0.457586
0.0001,fit,9.518725342296742e-05,0.466864
0.0001,fit,9.524625532724095e-05,0.476191
0.0001,fit,9.530529380389768e-05,0.485563
0.0001,fit,9.536436887560705e-05,0.494976
0.0001,fit,9.54234805650527e-05,0.504424
0.0001,fit,9.54826288949318e-05,0.513904
0.0001,fit,9.554181388795613e-05,0.523409
0.0001,fit,9.56010355668514e-05,0.532937
0.0001,fit,9.566029395435756e-05,0.542481
0.0001,fit,9.571958907322807e-05,0.552037
0.0001,fit,9.577892094623113e-05,0.561601
0.0001,fit,9.5838289596149e-05,0.571167
0.0001,fit,9.589769504577746e-05,0.580732
