# Low laser noise (LLN): injected common phase noise std. dev. 0 turns
# From Baynham et al., arXiv:2504.09158, doi:10.5281/zenodo.19592552 (CC BY 4.0)
# Source file: data_analysis/data/intermediate_data/excitation_fraction_corrected_with_phi_hln-lnl-repeat_63132_63134_63133_63135_63150_63149_63148_63151_63164_63163_63162_63331_63333_63332_0.csv
# Its header:
#   Excitation fraction dataset with debananaization applied and debug outputs included
#   Dataset description: hln-lnl-repeat
#   RIDs = 63132, 63134, 63133, 63135, 63150, 63149, 63148, 63151, 63164, 63163, 63162, 63331, 63333, 63332
#   atom_threshold_forward: 750000.0
#   atom_threshold_backward: 400000.0
#   Git version = 1ff632a-dirty
#   Scanned parameter = Std. dev. of both phase steps in turns
#   scanned parameter value = 0.0
#   phi units: radians
# Columns: shot index; t_s, seconds since the first shot of either run; phi_rad, applied clock laser phase step;
#   excitation_bottom / excitation_top, excitation fraction of the lower ('forward') and upper ('backward') interferometer
shot,t_s,phi_rad,excitation_bottom,excitation_top
459,2999.162,1.332797,0.268181,0.237509
460,3011.894,0.571199,0.832673,0.806600
461,3015.074,2.475194,0.430480,0.472934
462,3024.691,0.126933,0.922204,0.932698
463,3034.277,0.951998,0.514345,0.449751
464,3043.831,5.458121,0.303394,0.331568
465,3046.978,2.602127,0.472847,0.521570
466,3050.173,2.538661,0.447650,0.487778
467,3053.335,4.442656,0.252120,0.229935
468,3059.710,0.888531,0.625070,0.563526
469,3062.889,0.063467,0.868916,0.882231
470,3069.231,4.759989,0.124248,0.104395
471,3072.412,1.586663,0.118400,0.107044
472,3081.932,5.077321,0.087706,0.114293
473,3085.127,3.934924,0.639426,0.600133
474,3097.908,2.982926,0.755708,0.799586
475,3101.103,0.507732,0.882259,0.865873
476,3104.298,5.648520,0.402034,0.437264
477,3107.465,3.363725,0.893491,0.897823
478,3113.851,3.681058,0.827454,0.791274
479,3117.014,4.886922,0.092364,0.078599
480,3120.178,1.459730,0.196520,0.175636
481,3126.584,2.284795,0.267268,0.297488
482,3132.942,5.711987,0.404035,0.430110
483,3136.124,3.871458,0.734053,0.673971
484,3142.495,0.634665,0.747907,0.718890
485,3145.690,1.269330,0.220465,0.191649
486,3148.886,6.283185,0.870885,0.873072
487,3155.276,5.521587,0.330558,0.368615
488,3161.698,5.267721,0.152493,0.187720
489,3164.878,5.394654,0.250292,0.284720
490,3171.252,3.617592,0.824229,0.798762
491,3174.431,1.840529,0.088850,0.086078
492,3177.610,0.825065,0.651999,0.614485
493,3180.789,4.950388,0.081717,0.088737
494,3184.000,4.823455,0.101554,0.103962
495,3187.165,3.046393,0.824794,0.828960
496,3190.358,1.903996,0.112589,0.123870
497,3193.522,1.777063,0.082655,0.088168
498,3203.028,0.380799,0.905507,0.878687
499,3209.370,0.317333,0.917504,0.915998
500,3222.166,4.442656,0.306538,0.248295
501,3225.331,3.554125,0.880332,0.854373
502,3234.930,3.363725,0.897635,0.911546
503,3244.484,5.585054,0.461298,0.505611
504,3250.874,0.507732,0.894036,0.888343
505,3254.038,5.521587,0.341625,0.353790
506,3260.428,6.092786,0.758655,0.787426
507,3263.606,5.711987,0.561725,0.606015
508,3269.949,0.126933,0.893882,0.890359
509,3282.713,2.284795,0.270270,0.308440
510,3285.892,1.142397,0.448337,0.406978
511,3289.055,3.173326,0.882219,0.879961
512,3295.445,5.965853,0.713891,0.725490
513,3311.391,5.838920,0.562435,0.620639
514,3314.600,4.188790,0.452749,0.405101
515,3320.990,5.204254,0.176887,0.185361
516,3340.081,3.744525,0.771436,0.734266
517,3349.602,2.729060,0.626054,0.658102
518,3355.944,3.046393,0.863355,0.877731
519,3359.108,0.317333,0.924782,0.912420
520,3362.303,3.807991,0.747015,0.698853
521,3378.216,5.267721,0.145532,0.165497
522,3387.752,4.886922,0.096548,0.099750
523,3390.947,2.919460,0.795269,0.824960
524,3394.143,4.061857,0.620493,0.585696
525,3400.500,1.840529,0.089929,0.087745
526,3403.711,0.761598,0.694931,0.650366
527,3410.054,0.063467,0.894379,0.902472
