# High laser noise (HLN): injected common phase noise std. dev. 2 turns
# From Baynham et al., arXiv:2504.09158, doi:10.5281/zenodo.19592552 (CC BY 4.0)
# Source file: data_analysis/data/intermediate_data/excitation_fraction_corrected_with_phi_hln-lnl-repeat_63132_63134_63133_63135_63150_63149_63148_63151_63164_63163_63162_63331_63333_63332_2.csv
# Its header:
#   Excitation fraction dataset with debananaization applied and debug outputs included
#   Dataset description: hln-lnl-repeat
#   RIDs = 63132, 63134, 63133, 63135, 63150, 63149, 63148, 63151, 63164, 63163, 63162, 63331, 63333, 63332
#   atom_threshold_forward: 750000.0
#   atom_threshold_backward: 400000.0
#   Git version = 1ff632a-dirty
#   Scanned parameter = Std. dev. of both phase steps in turns
#   scanned parameter value = 2.0
#   phi units: radians
# Columns: shot index; t_s, seconds since the first shot of either run; phi_rad, applied clock laser phase step;
#   excitation_bottom / excitation_top, excitation fraction of the lower ('forward') and upper ('backward') interferometer
shot,t_s,phi_rad,excitation_bottom,excitation_top
363,2389.648,6.156252,0.899247,0.889885
364,2399.185,3.363725,0.316159,0.337885
365,2411.902,5.204254,0.518489,0.476804
366,2418.259,0.126933,0.087317,0.102905
367,2421.438,2.729060,0.805926,0.816721
368,2424.601,1.777063,0.484603,0.452929
369,2430.960,4.696522,0.741869,0.768046
370,2443.712,2.475194,0.584862,0.592489
371,2446.887,3.236792,0.524384,0.489333
372,2450.066,2.982926,0.885688,0.898730
373,2459.621,1.396263,0.091509,0.093970
374,2472.431,3.109859,0.111837,0.099505
375,2475.626,1.142397,0.494244,0.536589
376,2482.017,6.092786,0.893170,0.884413
377,2494.766,1.523196,0.851116,0.850480
378,2497.961,4.569589,0.161950,0.191882
379,2504.303,6.029319,0.759650,0.792407
380,2510.678,2.411728,0.092026,0.080971
381,2517.036,2.665594,0.878457,0.874933
382,2523.410,2.855993,0.845781,0.851438
383,2526.589,5.394654,0.089954,0.102352
384,2532.979,5.902386,0.293772,0.328717
385,2536.169,2.094395,0.356169,0.311787
386,2539.370,1.650129,0.162643,0.183918
387,2545.776,5.585054,0.303065,0.258240
388,2552.150,4.950388,0.898402,0.886722
389,2558.525,1.205864,0.208810,0.167856
390,2561.720,5.838920,0.245241,0.220567
391,2564.898,4.506123,0.110738,0.120511
392,2568.094,2.919460,0.447124,0.504873
393,2577.615,3.046393,0.108857,0.102706
394,2580.795,3.617592,0.869263,0.860023
395,2583.973,5.013855,0.099013,0.110311
396,2590.348,3.554125,0.906150,0.900114
397,2603.128,4.252257,0.584529,0.520242
398,2609.518,0.634665,0.106098,0.119143
399,2625.382,5.267721,0.923294,0.915248
400,2628.545,5.711987,0.831534,0.811104
401,2634.985,3.109859,0.656950,0.626675
402,2638.179,4.125324,0.280034,0.310431
403,2641.358,2.792527,0.783084,0.812489
404,2644.521,0.380799,0.824019,0.850394
405,2660.512,5.077321,0.108856,0.120896
406,2663.693,1.332797,0.713909,0.670505
407,2666.886,1.459730,0.094675,0.111874
408,2670.081,0.000000,0.829510,0.844417
409,2673.244,2.030929,0.197082,0.166022
410,2676.471,1.650129,0.870145,0.832417
411,2682.846,5.458121,0.685555,0.736999
412,2693.422,2.919460,0.733231,0.698442
413,2696.601,2.348261,0.460668,0.491846
414,2699.812,3.871458,0.915966,0.910815
415,2702.991,5.902386,0.819004,0.778162
416,2709.349,2.538661,0.150830,0.130189
417,2712.544,5.838920,0.321236,0.365433
418,2725.340,1.840529,0.375728,0.322738
419,2731.715,1.967462,0.152920,0.132360
420,2734.926,0.951998,0.904842,0.877828
421,2738.105,3.173326,0.445709,0.493638
422,2741.286,1.396263,0.577274,0.546563
423,2747.663,5.648520,0.868285,0.867295
424,2750.853,1.142397,0.202042,0.222880
425,2757.181,3.681058,0.141844,0.127970
426,2760.358,5.775453,0.470444,0.428894
427,2766.717,6.156252,0.820721,0.830503
428,2769.896,0.825065,0.668149,0.698872
429,2776.286,4.696522,0.157500,0.138484
430,2779.465,2.157862,0.635418,0.660868
431,2782.661,0.444266,0.626090,0.555988
432,2789.067,4.506123,0.093269,0.096384
433,2795.425,1.205864,0.097994,0.104523
434,2808.141,2.665594,0.908951,0.914396
435,2811.320,4.633056,0.914124,0.916454
436,2814.532,3.934924,0.926657,0.923633
437,2827.298,2.855993,0.151135,0.141594
438,2830.475,4.188790,0.863661,0.873151
439,2836.817,3.490659,0.113669,0.096646
440,2849.534,3.427192,0.384943,0.431202
441,2852.696,1.523196,0.258430,0.243991
442,2855.876,2.729060,0.729672,0.778477
443,2859.039,2.284795,0.165404,0.135985
444,2862.203,2.475194,0.454236,0.411803
445,2865.366,4.315723,0.162368,0.195102
446,2871.724,4.823455,0.387275,0.413729
447,2881.309,3.300259,0.227400,0.203471
448,2890.879,2.094395,0.440530,0.459463
449,2897.285,0.253866,0.159904,0.187933
450,2910.021,3.998391,0.875560,0.857316
451,2913.213,2.602127,0.090209,0.084470
452,2916.376,2.982926,0.528710,0.544192
453,2919.556,5.585054,0.244909,0.202774
454,2922.718,4.061857,0.892881,0.892253
455,2925.930,0.317333,0.538460,0.489079
456,2929.094,3.363725,0.429378,0.442236
457,2932.290,1.777063,0.510846,0.556673
458,2948.169,3.236792,0.136422,0.124227
459,2957.691,5.140788,0.900281,0.886030
460,2964.111,1.015464,0.894699,0.897368
461,2967.322,0.126933,0.805408,0.767305
462,2973.712,2.221328,0.530798,0.570007
463,2976.892,5.204254,0.474782,0.432779
464,2980.055,1.903996,0.900813,0.916682
465,2983.218,0.063467,0.815788,0.773045
466,3002.342,5.394654,0.336955,0.298751
467,3005.539,4.442656,0.334958,0.307233
468,3008.716,2.411728,0.330845,0.378192
469,3018.269,3.744525,0.534385,0.478743
470,3021.464,4.379190,0.800294,0.760263
471,3027.887,0.698132,0.893343,0.877684
472,3031.084,0.190400,0.305558,0.272610
473,3037.472,4.569589,0.242430,0.276726
474,3040.635,0.761598,0.500977,0.550284
475,3056.517,0.571199,0.547656,0.498740
476,3066.053,1.586663,0.093387,0.108036
477,3075.573,0.507732,0.480269,0.536200
478,3078.769,3.807991,0.486579,0.448811
479,3088.338,1.078931,0.874417,0.891735
480,3091.501,6.029319,0.149533,0.134082
481,3094.698,4.886922,0.900210,0.903562
482,3110.673,0.888531,0.907772,0.902142
483,3123.392,6.219719,0.273403,0.321753
484,3129.780,5.965853,0.830608,0.862405
485,3139.301,6.283185,0.852412,0.871576
486,3152.081,5.521587,0.750602,0.722746
487,3158.471,6.092786,0.085418,0.094624
488,3168.072,5.331188,0.093167,0.096995
489,3196.686,4.950388,0.275343,0.261144
490,3199.848,4.759989,0.130052,0.150906
491,3206.191,1.269330,0.550941,0.521059
492,3212.597,1.713596,0.791540,0.772485
493,3215.792,3.236792,0.718189,0.674894
494,3218.987,4.125324,0.831208,0.802492
495,3228.524,4.061857,0.604144,0.545700
496,3231.719,6.283185,0.411941,0.449955
497,3238.093,1.650129,0.457392,0.423197
498,3241.304,6.156252,0.919526,0.928716
499,3247.711,3.427192,0.515518,0.470527
500,3257.248,2.665594,0.330877,0.285174
501,3266.769,3.363725,0.598912,0.617569
502,3273.112,6.092786,0.838051,0.807846
503,3276.291,1.713596,0.868216,0.849244
504,3279.534,5.013855,0.089727,0.095283
505,3292.236,0.634665,0.083849,0.093041
506,3298.625,4.442656,0.256202,0.300528
507,3301.836,5.267721,0.295969,0.330352
508,3305.031,5.775453,0.673783,0.644183
509,3308.194,3.807991,0.181314,0.208370
510,3317.811,0.000000,0.269171,0.300215
511,3324.169,5.394654,0.903291,0.913735
512,3327.348,5.965853,0.225004,0.189670
513,3330.548,4.696522,0.686985,0.710643
514,3333.707,5.585054,0.094782,0.105721
515,3336.885,2.538661,0.487113,0.517045
516,3343.260,0.571199,0.700287,0.642547
517,3346.424,2.729060,0.325787,0.383721
518,3352.781,4.823455,0.722152,0.674189
519,3365.498,5.331188,0.876830,0.885979
520,3368.677,0.380799,0.099507,0.095047
521,3371.856,0.761598,0.649718,0.695580
522,3375.020,1.967462,0.204188,0.176053
523,3381.409,1.840529,0.239228,0.216672
524,3384.590,1.777063,0.134351,0.112804
525,3397.322,0.190400,0.193178,0.252713
526,3406.907,4.188790,0.851783,0.818893
527,3425.885,5.521587,0.903166,0.891190
528,3435.487,2.030929,0.415576,0.391221
